LeadSourceGroup,ZipCode,LoanPurpose,LoanType,TotalLoanAmount,CreditScore,CLTV,DTI,BorrowerAge,BorrowerOwnRent,Approved,TotalIncome,Education
Internet,76,Refinance,Conventional                                      ,510400.0,659,72.91,47.0,52,Own,0,14082.0,Higher School
Internet,77,Refinance,Conventional                                      ,318600.0,745,60.0,26.0,44,Own,1,14100.0,PostGrad
Other,Other,Refinance,Conventional                                      ,273750.0,737,75.0,43.0,54,Own,0,20000.0,PostGrad
Internet,77,Refinance,Conventional                                      ,352000.0,714,80.0,36.0,46,Own,1,13475.0,UnderGrad
Repeat Client,78,Refinance,Conventional                                      ,317475.0,766,85.0,30.0,37,Rent,1,13334.53,Higher School
Internet,76,Refinance,Conventional                                      ,220000.0,759,80.0,20.0,43,Own,0,15169.79,PostGrad
TV,77,Refinance,Conventional                                      ,163000.0,689,72.44,41.0,49,Own,1,6254.91,UnderGrad
Internet,77,Refinance,Conventional                                      ,184119.0,820,52.6,25.0,44,Own,0,8262.91,UnderGrad
Internet,75,Refinance,Conventional                                      ,308000.0,706,80.0,47.0,39,Own,0,11250.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,215200.0,720,80.0,34.0,52,Own,1,8063.11,UnderGrad
Radio,76,Refinance,Conventional                                      ,312260.0,786,79.25,27.0,37,Own,1,11898.71,UnderGrad
TV,75,Refinance,Conventional                                      ,134500.0,633,57.23,31.0,73,Own,1,3856.53,UnderGrad
TV,75,Refinance,Conventional                                      ,122500.0,645,70.0,47.0,48,Own,1,5497.04,UnderGrad
TV,75,Refinance,Conventional                                      ,196000.0,665,70.0,40.0,58,Own,0,6224.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,329500.0,764,74.88,41.0,46,Own,1,10360.86,PHD
Internet,75,Refinance,Conventional                                      ,280000.0,800,56.0,30.0,53,Own,1,8033.32,UnderGrad
Internet,75,Refinance,Conventional                                      ,145600.0,655,71.02,36.0,46,Own,1,6085.0,PostGrad
Radio,77,Refinance,VA                                                ,243500.0,805,71.61,,31,Own,0,0.0,PostGrad
Internet,75,Refinance,Conventional                                      ,360000.0,646,77.41,33.0,53,Own,0,14252.16,PostGrad
Internet,75,Refinance,Conventional                                      ,293600.0,699,80.0,39.0,55,Own,1,6666.67,UnderGrad
TV,75,Refinance,Conventional                                      ,248000.0,784,80.0,34.0,51,Own,1,6013.58,UnderGrad
Radio,76,Refinance,Conventional                                      ,166250.0,739,95.0,31.0,23,Rent,1,6023.75,UnderGrad
Internet,78,Refinance,Conventional                                      ,120000.0,676,50.84,21.0,67,Own,1,7025.21,UnderGrad
Internet,76,Refinance,Conventional                                      ,320000.0,754,80.0,46.0,40,Own,1,8322.29,UnderGrad
Internet,77,Refinance,Conventional                                      ,300000.0,767,50.0,33.0,47,Own,1,19350.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,332197.0,781,76.01,25.0,49,Own,1,14915.939999999999,Higher School
