LeadID,DateAdded,LeadSourceGroup,LoanOfficer,Group,ZipCode,LoanNumber,ApprovalDate,BranchCode,LoanPurpose,LoanType,TotalLoanAmount,CreditScore,CLTV,DTI,BorrowerAge,BorrowerYearsInSchool,BorrowerTotalMonthlyIncome,BorrowerOwnRent,BorrowerCity,BorrowerState,IsCoBorrowerower,CoBorrowerYearsInSchool,CoBorrowerAge,CoBorrowerTotalMonthlyIncome
77072,6/18/2014 22:43,Radio,"Benitez, Bryan",Refinance Team - 4102,76671,4102202796,3/24/2020,4102,Refinance Cash-out                                ,Conventional                                      ,110500,737,65,44,60,12,1865,Own,Morgan,TX,TRUE,0,0,0
79385,7/7/2014 14:31,Internet,"Sharp, James",Admin,76086,4102192251,3/6/2019,4102,Refinance Cash-out                                ,Conventional                                      ,80000,690,66.11,37,60,16,5208.33,Own,Weatherford,TX,TRUE,0,0,0
95657,10/29/2014 11:13,Radio,"Todd, Michael",Refinance Team - 4101,75035,4101206803,,4101,Refinance Cash-out                                ,Conventional                                      ,315000,793,78.75,24,51,14,20000,Own,Frisco,TX,TRUE,0,0,0
97039,11/7/2014 8:26,TV,"Reed, Shawn",Purchase Team - 4105,76021,4105205348,4/2/2020,4105,Purchase                                          ,Conventional                                      ,289750,792,95,45,40,18,8041.66,Own,Hurst,TX,TRUE,0,0,0
98123,11/12/2014 9:52,Radio,"Vander Plaats, Brian",Refinance Team - 4102,,4102191396,2/14/2019,4102,Refinance                                         ,FHA                                               ,194546,711,53.85,25,63,16,7787.55,Own,Plano,TX,TRUE,0,0,0
102199,12/13/2014 8:45,Radio,"Sharpe, Jenny",Admin,75216,41021911837,11/20/2019,4102,Refinance Cash-out                                ,Conventional                                      ,84000,695,70,35,70,16,5102.89,Own,Dallas,TX,TRUE,0,0,0
102436,12/15/2014 13:13,Repeat Client,"Sharp, James",Admin,76131,4102190491,1/19/2019,4102,Refinance Cash-out                                ,Conventional                                      ,145000,702,65.9,41,55,14,13536.5,Own,Fort Worth,TX,TRUE,12,51,0
102506,12/15/2014 17:36,Radio,"Vander Plaats, Brian",Refinance Team - 4102,75068,41022012183,7/14/2020,4102,Refinance                                         ,Conventional                                      ,194000,700,55.42,27,45,16,8791.19,Own,Little Elm,TX,TRUE,0,0,0
103013,12/19/2014 7:18,Referral,"Barlow, Michael",Refinance Team - 4103,,41032021062,12/23/2020,4103,Refinance                                         ,Conventional                                      ,389800,685,72.18,45,24,16,4078,Own,Murphy,TX,TRUE,14,46,4761
115953,3/15/2015 19:36,Radio,"Frank, Michael",Refinance Team - 4103,,4102194413,5/13/2019,4103,Refinance Cash-out                                ,Conventional                                      ,212600,628,61.8,49,58,12,7438.97,Own,Mansfield,TX,TRUE,12,55,4026
116176,3/17/2015 10:28,Referral,"Lowe, Scott",Refinance Team - 4101,,4101204789,4/16/2020,4101,Refinance Cash-out                                ,Conventional                                      ,218000,704,66.06,28,43,18,13102.42,Own,Mansfield,TX,TRUE,18,39,0
117209,3/23/2015 15:10,Radio,"Johnson, Chris",Refinance Team - 4102,77450,41022015460,8/30/2020,4102,Refinance                                         ,Conventional                                      ,300000,774,56.07,21,36,12,18833.33,Own,Katy,TX,TRUE,0,0,0
129882,6/6/2015 9:52,TV,"Nguyen, Tu",Refinance Team - 4102,76179,4102193282,3/29/2019,4102,Refinance Cash-out                                ,Conventional                                      ,134000,774,62.32,32,48,16,9875.39,Own,SAGINAW,TX,TRUE,0,0,0
140956,8/7/2015 16:17,Referral,"Milburn, Joe",Purchase Team - 4105,,41081917089,1/7/2020,4110,Purchase                                          ,Conventional                                      ,70805,799,85,39,71,16,9968.26,Own,Richmond,TX,TRUE,0,0,0
143521,8/23/2015 20:36,Radio,"Sharpe, Jenny",Admin,75104,41081911519,10/21/2019,4108,Refinance Cash-out                                ,Conventional                                      ,153000,771,79.68,33,60,16,8203.2,Own,Cedar Hill,TX,TRUE,16,50,3313.45
153739,10/22/2015 8:24,Radio,"Sharp, James",Admin,76065,4102193971,4/25/2019,4102,Refinance                                         ,Conventional                                      ,323200,749,80,28,48,18,10441.67,Own,Midlothian,TX,TRUE,16,41,6666.66
155380,10/31/2015 8:59,Internet,"Sharpe, Jenny",Admin,75022,4105192438,,4105,Purchase                                          ,FHA                                               ,323488,686,90,50,60,16,4882.78,Rent,Flower Mound,TX,TRUE,12,59,0
156025,11/4/2015 9:55,Radio,"Sharpe, Jenny",Admin,,4102193190,,4103,Refinance Cash-out                                ,Conventional                                      ,146250,665,75,44,53,16,673.56,Own,Arlington,TX,TRUE,16,45,4118.25
156029,11/4/2015 10:03,,"Sharp, James",Admin,76039,41021910325,9/13/2019,4102,Refinance Cash-out                                ,Conventional                                      ,152000,717,80,29,52,16,9514.69,Own,Euless,TX,TRUE,0,0,0
167562,1/26/2016 15:59,,"Nguyen, Tu",Refinance Team - 4102,77459,4102198751,8/19/2019,4102,Refinance Cash-out                                ,Conventional                                      ,181500,619,75,49,60,16,9656.67,Own,Missouri City,TX,TRUE,0,0,0
167966,1/28/2016 19:59,TV,"Corcoran, Karla",Refinance Team - 4103,75189,4102192766,3/29/2019,4103,Refinance Cash-out                                ,Conventional                                      ,268000,717,80,44,47,12,3993.75,,Royse City,TX,TRUE,12,48,8388.83
109109,1/29/2015 15:59,Repeat Client,"Todd, Michael",Refinance Team - 4101,75052,41012025783,,4101,Refinance                                         ,Conventional                                      ,240000,747,63.15,38,42,14,8333.33,Own,Grand Prairie,TX,TRUE,0,0,0
109670,2/3/2015 10:42,Radio,"Knight, Ken",Purchase Team - 4105,76556,41052023347,,4105,Refinance                                         ,Conventional                                      ,217000,786,78.9,24,35,18,5400,Own,Milano,TX,TRUE,16,36,4000
109706,2/3/2015 12:27,Radio,"Nguyen, Tu",Refinance Team - 4102,76262,4102192550,3/20/2019,4102,Refinance                                         ,Conventional                                      ,409500,727,90,38,41,16,14690.67,Own,Roanoke,TX,TRUE,0,0,0
110434,2/6/2015 15:15,Internet,"Lowe, Scott",Refinance Team - 4101,,4101202610,2/27/2020,4101,Refinance Cash-out                                ,Conventional                                      ,100000,557,45.45,28,34,16,0,Own,Crowley,TX,TRUE,20,33,7029.2
110819,2/10/2015 8:50,TV,"Corcoran, Karla",Refinance Team - 4103,75149,4102194311,4/29/2019,4103,Refinance Cash-out                                ,Conventional                                      ,100000,696,80,36,52,16,3780.67,Own,Mesquite,TX,TRUE,0,0,0
111106,2/11/2015 12:49,Radio,"Frank, Michael",Refinance Team - 4103,,41032023019,12/7/2020,4103,Refinance                                         ,Conventional                                      ,280465,786,74.1,18,43,16,20245.18,Own,Crawford,TX,TRUE,0,0,0
121271,4/16/2015 9:27,Referral,"Corcoran, Karla",Refinance Team - 4103,,41031915511,,4103,Refinance                                         ,Conventional                                      ,212000,783,53,44,61,16,6998,Own,Trinidad,TX,TRUE,16,60,785
121560,4/17/2015 17:51,Radio,"Sharp, James",Admin,75238,4102192734,4/1/2019,4102,Refinance Cash-out                                ,Conventional                                      ,200000,719,62.5,36,30,16,6570.52,Own,Dallas,TX,TRUE,0,0,0
122313,4/22/2015 16:15,TV,"Johnson, Adrienne",Refinance Team - 4103,,4102194071,4/20/2019,4103,Refinance Cash-out                                ,Conventional                                      ,256000,683,80,49,62,12,7691,Own,Bedford,TX,TRUE,0,0,0
122513,4/24/2015 9:33,Radio,"Alexander, Gary",Refinance Team - 4102,,4102195014,5/15/2019,4102,Refinance                                         ,FHA                                               ,245210,716,94.5,44,55,16,5083.48,Own,Crandall,TX,TRUE,16,58,3569.17
123099,4/28/2015 23:03,Radio,"Sharpe, Jenny",Admin,,4102197975,,4102,Refinance Cash-out                                ,Conventional                                      ,80000,739,43.24,22,62,16,5000,Own,Irving,TX,TRUE,14,65,3333
124291,5/6/2015 17:19,Radio,"Johnson, Adrienne",Refinance Team - 4103,75474,41032017154,10/6/2020,4103,Refinance                                         ,Conventional                                      ,148839,717,64.71,43,41,16,6274.52,Own,Quinlan,TX,TRUE,0,0,0
147650,9/18/2015 15:06,TV,"Ancell, Susan",Purchase Team - 4105,,41052025174,,4105,Refinance                                         ,Conventional                                      ,117000,698,39.66,32,47,16,9310.06,Own,Euless,TX,TRUE,14,49,5273.07
169988,2/10/2016 14:55,Referral,"Frank, Michael",Refinance Team - 4103,76052,41032013828,8/18/2020,4103,Refinance                                         ,Conventional                                      ,321630,796,68.87,49,39,16,9921.43,Own,Haslet,TX,TRUE,12,42,0
170900,2/16/2016 8:42,Repeat Client,"Nguyen, Tu",Refinance Team - 4102,75238,4102197893,8/30/2019,4102,Refinance Cash-out                                ,Conventional                                      ,483000,662,70,49,40,16,2951.25,Own,Dallas,TX,TRUE,16,36,3795.58
170980,2/16/2016 13:10,Radio,"Johnson, Adrienne",Refinance Team - 4103,75244,41032013758,8/5/2020,4103,Refinance                                         ,Conventional                                      ,288989,790,82.56,40,42,16,8745.95,Own,Rowlett,TX,TRUE,0,0,0
99042,11/18/2014 12:29,Radio,"Boldt, Bob",Refinance Team - 4101,75054,4101206680,4/23/2020,4101,Refinance                                         ,Conventional                                      ,180620,800,70.83,35,48,16,5238.31,Own,Grand Prairie,TX,TRUE,0,0,0
112838,2/24/2015 12:44,Radio,"Vander Plaats, Brian",Refinance Team - 4102,75407,4102196474,6/14/2019,4102,Refinance                                         ,Conventional                                      ,180600,638,76.85,49,36,6,4959.29,Own,Princeton,TX,TRUE,16,42,2912
114166,3/4/2015 10:43,,"Johnson, Adrienne",Refinance Team - 4103,75007,4102190971,1/30/2019,4102,Refinance Cash-out                                ,Conventional                                      ,176000,708,80,39,52,16,4020.93,Own,Carrollton,TX,TRUE,0,0,0
114275,3/4/2015 17:25,Radio,"Reed, Shawn",Purchase Team - 4105,75104,4105190038,5/20/2019,4105,Purchase                                          ,Conventional                                      ,203940,736,90,30,28,12,5040.31,Own,Cedar Hill,TX,TRUE,12,29,3848.01
125133,5/11/2015 15:30,TV,"Alexander, Gary",Refinance Team - 4102,75088,4102199732,8/31/2019,4102,Refinance                                         ,Conventional                                      ,212041,685,56.69,50,65,16,10794.41,Own,Rowlett,TX,TRUE,0,0,0
125618,5/13/2015 14:49,Radio,"Ancell, Susan",Purchase Team - 4105,,41051913738,11/27/2019,4105,Refinance Cash-out                                ,Conventional                                      ,175000,770,61.4,59,50,12,4006.5,Own,Little Elm,TX,TRUE,0,0,0
137707,7/21/2015 13:07,Radio,"Sharp, James",Admin,76135,4102198563,8/20/2019,4103,Refinance                                         ,Conventional                                      ,432650,781,66.66,17,39,16,13949.17,Own,Fort Worth,TX,TRUE,0,0,0
138288,7/23/2015 18:57,TV,"Corcoran, Karla",Refinance Team - 4103,75019,41032023395,,4103,Refinance Cash-out                                ,Conventional                                      ,273750,683,78.21,41,57,16,10304.12,Own,Coppell,TX,TRUE,14,51,4551.6
139483,7/30/2015 12:50,Radio,"Sharp, James",Admin,76008,4102190913,8/19/2019,4102,Refinance Cash-out                                ,Conventional                                      ,466000,797,79.11,26,41,16,14300,Own,Aledo,TX,TRUE,0,0,0
139934,8/3/2015 9:27,Referral,"Bennett, Eric",Refinance Team - 4101,76247,41012025866,,4101,Refinance                                         ,Conventional                                      ,230967,756,78.29,20,49,12,2860.32,Own,Justin,TX,TRUE,12,54,6250.75
140663,8/6/2015 9:40,Radio,"Sharpe, Jenny",Admin,75231,4108195001,5/8/2019,4102,Refinance Cash-out                                ,Conventional                                      ,429000,782,72.71,38,45,16,18430,Own,Dallas,TX,TRUE,16,37,0
153317,10/20/2015 10:09,Referral,"Alexander, Gary",Refinance Team - 4102,75238,4105191865,2/21/2019,4102,Refinance Cash-out                                ,Conventional                                      ,124500,662,42.49,44,74,12,2521.24,Own,Dallas,TX,TRUE,0,0,0
153560,10/21/2015 11:30,Internet,"Sharpe, Jenny",Admin,,4103199782,8/28/2019,4101,Refinance                                         ,FHA                                               ,291005,682,90.79,28,36,14,8192.12,Own,Bruceville,TX,TRUE,14,41,0
163963,1/6/2016 9:46,Repeat Client,"Johnson, Adrienne",Refinance Team - 4103,76248,4102191129,2/7/2019,4102,Refinance                                         ,Conventional                                      ,219600,664,42.64,38,56,14,3336.59,Own,Keller,TX,TRUE,12,55,8829.75
176615,3/24/2016 9:52,TV,"Frank, Michael",Refinance Team - 4103,75150,4103195157,5/14/2019,4103,Refinance Cash-out                                ,Conventional                                      ,132000,701,80,43,75,12,2633.13,Own,Mesquite,TX,TRUE,12,68,2015.63
177229,3/29/2016 12:13,Internet,"Sharp, James",Admin,76210,4104192107,3/5/2019,4104,Refinance Cash-out                                ,Conventional                                      ,126700,629,50.88,47,56,12,4166.66,Own,Corinth,TX,TRUE,0,0,0
106243,1/12/2015 18:03,Repeat Client,"Frank, Michael",Refinance Team - 4103,75036,4102171968,2/12/2019,4102,Purchase                                          ,Conventional                                      ,437000,751,95,43,48,14,9924.44,Rent,Frisco,TX,TRUE,14,44,4050.62
106891,1/15/2015 12:23,Radio,"Johnson, Chris",Refinance Team - 4102,75218,4102205044,4/6/2020,4102,Refinance                                         ,Conventional                                      ,204740,805,60.21,29,40,16,7875,Own,Dallas,TX,TRUE,16,43,0
118470,3/31/2015 11:12,TV,"Corcoran, Karla",Refinance Team - 4103,75042,4102192758,3/29/2019,4103,Refinance Cash-out                                ,Conventional                                      ,90000,741,51.13,43,74,12,2106.25,Own,Garland,TX,TRUE,0,0,0
119940,4/8/2015 14:46,Radio,"Sharp, James",Admin,75019,4102190358,1/18/2019,4102,Refinance Cash-out                                ,Conventional                                      ,384000,793,80,39,42,18,7177.15,Own,Coppell,TX,TRUE,18,38,2097.36
